File Name,Type,Creator,Comments,Category,Extension,Dup,"Data by Ilan Szekely, Jerusalem"
-1,KMAP,UDIF,KmapDemo,  , , ,
0,save,smEB,boogaloopers,Game, , ,
0.5,APPL,USa7, ,Application, , ,
1,MV^^,∑ALΩ,Kung-Fu Chivalry,  , , ,
1,demo,Duke,Duke Nukem 3D,  , , ,
1,SuLS,FbLS,LiSa,  , , ,
1,FRGF,FRGM,The Beauty of Fractals Lab,  , , ,
1,I$Rt,I$Rc,ScreenRecorder™,  , , ,
1,GNSG,IRON,Gauntlet,  , , ,
1,MPsl,MPED,ActionLine Editor,  , , ,
1,PICT,MWRL,MicroWorld,Graphics PICT,PIC, ,
1,wGme,shWR, ,  , , ,
1,CRCT,TRBL,Troubleshooter,  , , ,
2,SAVE,PRNc,Prince 2 ,  , , ,
9,E3SV,EX3!,Exile III,Game, , ,
10,AIFF,GDSP,Astound,Sound AIFF,AIF, ,
12,DDD ,BGEM, ,  , , ,
24,LodS,Lode,Lode Runner Online,  , , ,
60,BNTR,****,Unspecified Creator,???, , ,
911,INIT,N911,AKUA Interactive Media AG,INIT,, ,
1863,APPL,CHAN, ,Application, , ,
11025,SdFt,Sd2a,Sound Designer II™,  , , ,
Apr-97,WEBC,WBca,Web Calendar,  , , ,
2-Jan,DIPT,PTBO,PT Boat Simulator,  , , ,
12-Jul,CRYP,JRM!,CryptoSolve,  , , ,
5-Dec,FIBR,FIBR,Fire-Brigade,  , , ,
 ,ator, Gui, ,  , , ,
 ,adev,****,Unspecified Creator,Appletalk extension, , ,
 ,adrp,****,Unspecified Creator,Alias to file, , ,
 ,AIFC,****,Unspecified Creator,Sound AIFF-C, , ,
 ,AIFF,****,Unspecified Creator,Sound AIFF,AIF, ,
 ,appe,****,Unspecified Creator,Background Only Application, , ,
 ,cbnd,****,Unspecified Creator,Connection Tool, , ,
 ,cdev,****,Unspecified Creator,Control Panel, , ,
 ,claF,****,Unspecified Creator,Claris Fonts, , ,
 ,dbgr,****,Unspecified Creator,MacsBug, , ,
 ,ddev,****,Unspecified Creator,DAL, , ,
 ,dfil,****,Unspecified Creator,System 7 desk accessory, , ,
 ,DRWG,****,Unspecified Creator,MacDraw II document, , ,
 ,EPSF,****,Unspecified Creator,EPS,EPS, ,
 ,fbnd,****,Unspecified Creator,Communication Tool, , ,
 ,fdrp,****,Unspecified Creator,Alias to folder, , ,
 ,fext,****,Unspecified Creator,Extension, , ,
 ,ffil,****,Unspecified Creator,System 7 font, , ,
 ,GIFf,****,Unspecified Creator,Graphics GIF,GIF, ,
 ,help,****,Unspecified Creator,Help, , ,
 ,JFIF,****,Unspecified Creator,Graphics JFIF/JPEG,JPG, ,
 ,JPEG,****,Unspecified Creator,Graphics JPEG,JPG, ,
 ,LWFN,****,Unspecified Creator,PostScript font,PFB, ,
 ,MooV,****,Unspecified Creator,QuickTime Movie,MOV, ,
 ,MW2D,****,Unspecified Creator,MacWrite II document, , ,
 ,MW2S,****,Unspecified Creator,MacWrite II stationary, , ,
 ,MWPd,****,Unspecified Creator,MacWrite Pro doc, , ,
 ,PACT,****,Unspecified Creator,Compact Pro archive,CPT, ,
 ,pdvr,****,Unspecified Creator,Printer driver, , ,
 ,PICS,****,Unspecified Creator,Animation PICS, , ,
 ,PICT,****,Unspecified Creator,Std Graphics format,PIC, ,
 ,PNTG,****,Unspecified Creator,Graphics MacPaint,MPT, ,
 ,pref,****,Unspecified Creator,Pref, , ,
 ,PRER,****,Unspecified Creator,Chooser Extension, , ,
 ,PRES,****,Unspecified Creator,Chooser Extension, , ,
 ,RDEV,****,Unspecified Creator,Chooser Device, , ,
 ,RIFF,****,Unspecified Creator,Graphics RIFF Image,RIF, ,
 ,rsrc,****,Unspecified Creator,Resource, , ,
 ,RTF ,****,Unspecified Creator,Rich Text Format,RTF, ,
 ,SCRN,****,Unspecified Creator,Graphics Startup Screen, , ,
 ,sdev,****,Unspecified Creator,Control Strip Module, , ,
 ,sfil,****,Unspecified Creator,Sound System 7, , ,
 ,SITD,****,Unspecified Creator,Stuffit Deluxe archive,SIT, ,
 ,STAK,****,Unspecified Creator,HyperCard stack, , ,
 ,STAT,****,Unspecified Creator,MacDraw II—Stationary, , ,
 ,SYLK,****,Unspecified Creator,SYLK file, , ,
 ,tbnd,****,Unspecified Creator,Communication Tool, , ,
 ,TEXT,****,Unspecified Creator,Text File,TXT, ,
 ,TIFF,****,Unspecified Creator,Graphics TIFF,TIF, ,
 ,ttro,****,Unspecified Creator,Text file (read only),TXT, ,
 ,WDBN,****,Unspecified Creator,Word Document,DOC, ,
 ,WORD,****,Unspecified Creator,MacWrite document, , ,
 ,zsys,****,Unspecified Creator,System suitcase (7), , ,
 ,****,ƒ∫ß,File Buddy,Common Creators, , ,
 ,****,APSC,AppleScan,Common Creators, , ,
 ,****,ARTZ,Illustrator™,Common Creators, , ,
 ,****,ascr,AppleScript™,Common Creators, , ,
 ,****,AWSS,MS-Works spreadsheet,Common Creators, , ,
 ,****,BOBO,ClarisWorks/AppleWorks,Common Creators, , ,
 ,****,ccRM,ccReclaim,Common Creators, , ,
 ,****,CHMS,ChemDraw document,Common Creators, , ,
 ,****,CHRT,MS-Chart document,Common Creators, , ,
 ,****,CMC ,Color MacCheese,Common Creators, , ,
 ,  IE,CW  , ,  , , ,
 ,APPL,De3D,SoftKey Multimedia,Application, , ,
 ,****,dpnt,DeskPaint™,Common Creators, , ,
 ,****,DVDT,MacLinkPlus™,Common Creators, , ,
 ,****,DVPC,MacLinkPlus,Common Creators, , ,
 ,****,ecl2,CanOpener,Common Creators, , ,
 ,****,EPSF,Encapsulated PostScript ,Common Creators, , ,
 ,****,EXCU,Exposure document,Common Creators, , ,
 ,****,EXTR,Compact Pro sea APPL,Common Creators, , ,
 ,****,F#+D,RagTime 2 document,Common Creators, , ,
 ,****,F#+F,RagTime 2 form,Common Creators, , ,
 ,****,FCSC,ColorStudio,Common Creators, , ,
 ,****,FMKD,FileMaker Plus ,Common Creators, , ,
 ,****,FMPR,FileMaker Pro,Common Creators, , ,
 ,****,GKON,GraphicConverter—OpenAnyFile,Common Creators, , ,
 ,****,Gld1,HotSync® Manager,Common Creators, , ,
 ,****,Grnd,HTML Grinder—Plug-in Wheel,Common Creators, , ,
 ,****,GVdp,GlobalFax Sender—OpenAnyFile,Common Creators, , ,
 ,GEOL,HBSF, ,?, , ,
 ,****,JVWR,JPEGView,Common Creators, , ,
 ,****,KRQL,QuickLock,Common Creators, , ,
 ,****,KURZ,AccuText,Common Creators, , ,
 ,APPL,LINU, ,Application, , ,
 ,****,LSTD,LetraStudio,Common Creators, , ,
 ,****,LZIV,Compress file,Common Creators, , ,
 ,****,MACA,MacWrite,Common Creators, , ,
 ,****,MACS,System software,Common Creators, , ,
 ,****,MDPL,MacDraw II,Common Creators, , ,
 ,****,MDRW,MacDraw I,Common Creators, , ,
 ,****,MENV,GeneDisplay—File Mask,Common Creators, , ,
 ,****,MOR2,MORE II,Common Creators, , ,
 ,****,MOR3,MORE 3 ,Common Creators, , ,
 ,****,MORE,MORE™,Common Creators, , ,
 ,****,movr,"System 7 font, DA",Common Creators, , ,
 ,TEXT,MRLW,AppleSearch,Text File,TXT, ,
 ,****,MSWD,Microsoft Word,Common Creators, , ,
 ,****,MWII,MacWrite II,Common Creators, , ,
 ,****,MWPR,MacWrite Pro,Common Creators, , ,
 ,****,NEMX,Nemesis Go,Common Creators, , ,
 ,****,OM$$,Omnis 3 Plus,Common Creators, , ,
 ,****,PCXT,SoftPC,Common Creators, , ,
 ,****,PJMM,Think Pascal,Common Creators, , ,
 ,****,PLAN,MS-Multiplan,Common Creators, , ,
 ,****,PNfs,Norton File Saver,Common Creators, , ,
 ,PICT,Poco,Window Monkey,Graphics PICT,PIC, ,
 ,****,PPT3,PowerPoint,Common Creators, , ,
 ,****,PRTC,OmniPage,Common Creators, , ,
 ,****,Q2$$,Omnis 5,Common Creators, , ,
 ,****,R*ch,BBEdit,Common Creators, , ,
 ,****,R#+D,RagTime 3 doc,Common Creators, , ,
 ,****,R#+F,RagTime 3 form,Common Creators, , ,
 ,****,Rich,BBEdit (old),Common Creators, , ,
 ,****,RSED,ResEdit,Common Creators, , ,
 ,****,RSGS,DesignStudio,Common Creators, , ,
 ,****,SCAN,ThunderScan,Common Creators, , ,
 ,****,SIT!,Stuffit,Common Creators, , ,
 ,****,SMOV,SoundMover,Common Creators, , ,
 ,****,SNdm,SoundMachine,Common Creators, , ,
 ,Stat,spdM,Speed n,  , , ,
 ,****,SPNT,"SuperPaint 2.0, 3.",Common Creators, , ,
 ,****,Sxpr,Expressionist,Common Creators, , ,
 ,TRE3,TRE8,Tree Pro,  , , ,
 ,****,ttxt,TeachText / SimpeText,Common Creators, , ,
 ,APPL,TW, ,Application, , ,
 ,****,WILD,HyperCard,Common Creators, , ,
 ,****,WNGZ,Wingz,Common Creators, , ,
 ,  R3,XP  , ,  , , ,
 ,****,XPRS,Poster Maker,Common Creators, , ,
 ,user,yosi, ,  , , ,
 !TMsc,INIT,TMsc, ,INIT,,,
 [ ]—IRCAM sound file,IRCM,SDHK, ,?,,,
 [ ]—Targa Image file,TPIC,Noah, ,TGA Graphics File,,,
 [Guided Tour],APPL,kaDD,Application,?,,,
 [Some Document Maker],APPL,sa95,Application,?,,,
 [Trial Version],APPL,DCP2,Application,?,,,
 [Trial Version],APPL,MWPT,Application,?,,,
 [Trial Version],APPL,MYMC,Application,?,,,
 [Trial Version],APPL,NBMZ,Application,?,,,
 {From TechnoSys List}—IŒ|œx ntitled-1,PNDT,Pond,,,, ,
 {From TechnoSys List}—qfnonl.ini,pref,Inet,  ,Pref, , ,
 {From TechnoSys List}—Text File,TEXT,DMcp, ,Text,,,
 AllKern,scri,MMk7, ,Extension,,,
 AltFromMain Folders,INIT,ddAM, ,INIT,,,
 Animation,EX2S,EXTE,Extend,  , , ,
 Animation Lib,EX2L,EXTE,Extend,  , , ,
 AppMaker,APPL,AMk2, ,Application, , ,
 Art,DATA,Styx,Troubled Souls ,Data File, , ,
 Basic Training,SCED,TACD,TacOps,  , , ,
 Battle,CDoc,FCm2,Flight Commander 2,  , , ,
 beam simple,BILL,JSHL,Tour Guide,  , , ,
 BPM-List,BPM!,BPM?,MacBPM Manager,  , , ,
 BPR Lib.RT,EXRL,EXTE,Extend,  , , ,
 Buch.prefs,PWPr,etiR,PressWise,  , , ,
 Buchungen,MKº2,CS≈e,MacKonto III ffnen....,  , , ,
 CineMac Helper v 1.5,INIT,CHLP,,INIT,, ,
 Collaborator II,APPL,CLB2, ,Application, , ,
 Columns,pCLG,Pana,The Print Shop,  , , ,
 CP DriveLight,cdev,DrLt,MacTools Utility,Control Device,,,
 CP Scheduler,INIT,CPSD,MacTools Utility,INIT,,,
 CP TrashBack™,INIT,CPTT,MacTools Utility,INIT,,,
 DB ASCII.LNK.DB,LKDB,LINK,LinkIndex/TOC,  , , ,
 Dictionary,LECu,LECj,LogoVista,Dictionary, , ,
 Dog Years Deluxe.sa,APPL,Gada, ,Application/Dup, ,Dup,
 DonglesPeaceINIT,INIT,Æts0,,INIT, , ,
 Dynamic Desktop PCI,cdev,PMDD, ,Control Device,,,
 DynoPage™,cdev,DnPg, ,Control Device,,,
 Element File,ElmT,TsTL,DivvyUP,  , , ,
 EM Extension,INIT,extE, ,INIT,,,
 End,MMHC,MMDR,MacroMind Director,  , , ,
 engl.,XTAG,XTAG, ,  , , ,
 File,GrAf,GpoT,Concurrent GraphPlot 1.3,  , , ,
 File,oipf,MAGB,Employee Picture Database,  , , ,
 file Agent Da,ATDA,LARM,The Alarm,  , , ,
 Filter,Sflt,PDIR,PD® CLS,  , , ,
 Flug,TEXT,JDem,JetDemo,Text File,TXT, ,
 Folder Locker,APPL,UNLf, ,Application, , ,
 Fools’ List,SCOR,Styx,Troubled Souls ,  , , ,
 Game,JTMZ,JATS,Curse of Dragor ,  , , ,
 Gradebook,egp3,EGP3,Easy Grade Pro,  , , ,
 Graphics File,DSHA,DOD!,Odyssey ,  , , ,
 HDT Diagnostic™,cdev,jeff, ,Control Device,,,
 HDT Diagnostic™,INIT,jeff, ,INIT,,,
 House,GLhs,GLed,Glider-house! ,Game, , ,
 House,gliH,ozm5,Glider Pro™,Game, , ,
 IC Layout,MGDS,CATS,MacGDS,  , , ,
 Index,QIDX,RKL0,QPict,  , , ,
 Installer 3,MSF1,SRay,Demo Installer,  , , ,
 Issue,PPRJ,PDIR,PD® CLS,  , , ,
 Label Datafile,TEXT,2CTY,Publish It! Easy,Text,,,
 Landscape,CHTE,BSNH,Nuclear Hammer ,  , , ,
 Launcher,APPL,TgrA, ,Application, , ,
 Layout,JTMM,JATS,Curse of Dragor ,  , , ,
 M.Hacker Ver1.4.5,APPL,MhOo,Application,,,,
 Mac Biorhythmus Light,APPL,FIED, ,Application, , ,
 MacGINO,APPL,GINO, ,Application, , ,
 MacLINDO,APPL,LNDO, ,Application, , ,
 MacLINGO,APPL,LNGO, ,Application, , ,
 Map,ASI3,AVIB,AsantView,  , , ,
 Map File,DMAP,DOD!,Odyssey ,  , , ,
 Map.exp,EXPL,BSNH,Nuclear Hammer ,  , , ,
 Map.shl,SHPL,BSNH,Nuclear Hammer ,  , , ,
 Map04,TADT,TACD,TacOps,  , , ,
 Maps,maps,pth,Pathways Into Darkness,Game, , ,
 MarkUp 2.0,APPL,MUPR, ,Application, , ,
 MEDLINEs,TEXT,KFND,Fileknit,Text File,TXT, ,
 Mission,NHMN,BSNH,Nuclear Hammer ,  , , ,
 Model,PPIC,PMDL,MacroModel,  , , ,
 Moose,cdev,CdMo, ,Control Panel, , ,
 Motor Bike,APPL,Bike,Application,Game,,,
 Music File,DMUF,DOD!,Odyssey ,  , , ,
 Object,ClaY,MiCl,SculptorPPC,  , , ,
 One,KLd4,KLb4,MandelScope,  , , ,
 Playlist,PlLt,BPM?,MacBPM Manager,  , , ,
 PowerBook Display ,cdev,gdaz, ,Control Device,,,
 Project,SCHE,AHJT,Project Leader,  , , ,
 Protokoll,SBTX,sBTX,SoftBTX,  , , ,
 Read Me,4WRT,Twri,TeachWrite,  , , ,
 Read Me ,APPL,CTXT, ,Application, , ,
 Report #2,HprO,HLP!,Help!™ ,  , , ,
 Saved Games,ply®,pth,Pathways Into Darkness,Game, , ,
 Schedule File,CuRZ,TsTL,DivvyUP,  , , ,
 shapes,MSHP,MCOS,Microcosm II,Game, , ,
 Shapes,shps,pth,Pathways Into Darkness,Game, , ,
 Show,HSSS,HYPS,HyperSlider,  , , ,
 Show,TRX1,TRAX,Dataton TRAX® ,  , , ,
 Sigma™ Compression INIT,INIT,DOUB, ,INIT,,,
 Size Library,MDoc,M3TS,MORE™,  , , ,
 Size Trapeze™ ∂,WORD,MA  , ,MacWrite document, , ,
 Sounds,sndz,pth,Pathways Into Darkness,Sound, , ,
 Tap™,APPL,dmoT, ,Application, , ,
 Tap™ Control,cdev,dmoT,Demo Tap™,Control Panel, , ,
 TaskIt,APPL,tSkT,Application, ,,,
 Tour,EM7F,EMA6,Emagic SoundDiver ,  , , ,
 tuner,APPL,GMet,eMedia Corp.,Application,, ,
 UniTelVIEW,cdev,UTVW, ,Control Panel, , ,
 Unquote,INIT,GodQ, ,INIT,,,
 upFRONT™ 2.0,APPL,SPMA, ,Application, , ,
 User,PROF,pBLO, ,  , , ,
 User's Prefs,PREF,CLFM,Colorforms ,Pref, , ,
 Version Catalog,FtcF,Ftch,Aldus Fetch™,  , , ,
 VistaScan DA v1.2.2,APPL,VSDA,Application, ,,,
 VistaScan DA—PhotoShop 2.0 File,8BIM,VSDA, VistaScan DA,Graphics File,,,
 VistaScan DA—PhotoShop 2.5 File,8BPS,VSDA, VistaScan DA,Graphics File,,,
 VistaScan DA—PICT File,PICT,VSDA, VistaScan,PICT,,,
 VistaScan DA—TIFF File,TIFF,VSDA, VistaScan,TIFF,,,
__ADAcross,AD__,ADrk,After Dark,  , , ,
_Anlagedatei,AEAF,????,Unspecified Creator,  , , ,
_awardc.build,SPGA,SCPG,HomePublisher™,  , , ,
_Disk,DSKS,RBOW,Rainbow ,  , , ,
_Foods,FOOD,CALF,NewVeg,  , , ,
_Launch 3.0,APPL,_Lnc, ,Application, , ,
_Picture A.Image,PICT,ShDr,ShareDraw,Graphics PICT,PIC, ,
_siteinfo,LS3s,WAY ,Freeway*,  , , ,
- Start Webexpo Here-,APPL,WEBI, ,Application, , ,
--> BEEBOP 3 <--,APPL,CLA2,Application, ,,,
-..ClickMe PG1.1e !!!!!!,APPL,CsPg, ,Application, , ,
-> Anarcho,APPL,2anr, ,Application, , ,
->CreationSite,CORD,CV4D,ChemViewer3D,  , , ,
-NetBuddy-,APPL,ph33,,Application,, ,
",Application,, ,",,,,,,,
! QuickLook Shipper™,APPL,EFCT, ,Application, , ,
! Service Invoice(v1.16),APPL,SKM2,Application, ,,,
! Service Invoice™v1.16),APPL,SKM2, ,Application, , ,
!!InstallerF!!,????,PHMA,HFS_Init,  , , ,
!!SwitchBoot!!,INIT,dms1,,INIT, , ,
!#B5_Punct,mint,Blue,MacBlue Telnet,  , , ,
!#MBPunct_BIG5,HZip,LHfl,Zafir,  , , ,
!DIOinit,INIT,dk~C,D-K Research,INIT, , ,
!Dos,APPL,!Dos, ,Application, , ,
!ForceQuit extension,INIT,FrQt,,INIT, , ,
!ForceQuit Settings,APPL,FrQt, ,Application, , ,
!Fortune,cdev,AFRT, ,Control Panel, , ,
!MacPassword™,cdev,mpCd, ,Control Panel, , ,
!MacPassword™ Utility,APPL,mpCu, ,Application, , ,
!MacPassword™—Sound,snd ,mpCd,MacPassword,Sound, , ,
!MacPassword™—Text File,TEXT,mpCd,MacPassword,Text File,TXT, ,
!Mission Screen Init,INIT,CHCH,,INIT, , ,
!PICT SlideShow,APPL,EPPS, ,Application, , ,
!RManINIT,INIT,RINI,,INIT, , ,
!Symbionts,INIT,!SYM,!Symbionts,INIT, , ,
!Symbionts,scri,!SYM,!Symbionts,Script/Extension, , ,
!Tempo Assist,APPL,T7AS,,Application, , ,
!TMsc,INIT,TMsc,,INIT, , ,
!What ?.INIT,INIT,joke,,INIT, , ,
¡PageSetup!,APPL,dPgS, ,Application, , ,
?,APPL,pyo+,Application,Game,,,
??,APPL,LiM1,Application,,,,
???,APPL,MCse,?,Application, , ,
???,APPL,YSSG, ,Application, , ,
???,APPL,MBSW,Application, ,,,
???,AIFF,SPUD, ,Sound AIFF,,,
???->TEXT,APPL,?->T,Conversion?,Application, , ,
????,fff ,¨ , ,  , , ,
????,b'tw,b'st, ,  , , ,
????,sOff,ice ,Ice,  , , ,
????,unit,qmgr,QMgr,  , , ,
????,APPL,Rout,Application, ,,,
????,o no,sy? , , ,,,
????—1977's Most Spoken Languages,TLN4,TLR3,,,, ,
????—3D68k_CR,DMXT,DIMI,,,, ,
????—7 Wonders of the Ancient World,TLN3,TLR3,,,, ,
????—Ableitung,TEXT,AAIS, ,Text File,TXT, ,
????—Acrobat,PICT,CM12,,Graphics PICT,PIC, ,
????—adamVocabulary,STAR,WORD,Word 1.0 ,  , , ,
????—AIFF Sound File,AIFF,aom1, ,Sound AIFF,AIF, ,
????—Alias,????,[()],,,, ,
????—American Dictionary,mnD ,mnD ,,,, ,
????—andxedr fjhdnf fdffdede,FCRY,Tami,,,, ,
????—AppD100.ApD/DNFM140.ApD,AppD,AECS,,Apple Menu Application,, ,
????—Application,AAS1,CWSE,,,, ,
????—Archaeo.db,TTDB,TTSR,Tabletop,,, ,
????—Bake sale flyer,Ssp1,Sspm,SuperPrint,,, ,
????—Bitmapped Graphic File,PMAP,AOM3, ,Graphics, , ,
????—bondat,1÷@, TO , ,  , , ,
????—Calendar,DSt+,CEDL,DropStuff,  , , ,
????—CATOPEN.TRF,BINA,FSCX,,Binary,BIN, ,
????—Cell Interface,IAS1,CWSE,,,, ,
????—Christmas card 1997,Ssp2,Sspm,SuperPrint,,, ,
????—chSdw.gif,GIFf,8bwr,,Graphics GIF,GIF, ,
????—Color LW 600,APrf,Aplg,,,, ,
????—Courier «Bold Italic»,TEXT,ADUK, ,Text File,TXT, ,
????—Courier Map,sce2,26.C,Marathon ??,  , , ,
????—Courier Music,mus2,26.C,Marathon ??,  , , ,
????—Cursed Map,sce2,26.E,Marathon ??,  , , ,
????—Cursed Net Physics,phy∞,26.E,Marathon ??,  , , ,
????—CustomPage,DXTN,cbDG,,Printer Description,, ,
????—DA Thesaurus,MSTH,LDAT,,,, ,
????—Danish Thesaurus,MSTF,LDAT,,,, ,
????—Data,Kxid,Kwrx,Kid Works,  , , ,
????—Data File,Data,MxFx,,Data File, , ,
????—Database,DAS1,CWSE,,,, ,
????—Deliverance,sgam,26.3,Marathon ??,  , , ,
????—Design Prefs,CkLf,CkLy, ,  , , ,
????—Desktop Skills.run,TEXT,RuSh,,Text File,TXT, ,
????—Dictionary File,DICT,REF , ,Dictionary,DIC, ,
????—Document,MuAd,Cr37, ,  , , ,
????—Document,◊DIA,DPI5, ,  , , ,
????—Document,DOgm,DOgm, , ,,,
????—DU Hyphenation,WDHY,PolH,,,, ,
????—DU Spelling,SACM,PolS,,,, ,
????—DU Thesaurus,MSTH,PolT,,,, ,
????—Dutch Dictionary,HMSD,PolS,,,, ,
????—Dutch Hyphenation,HMHD,PolH,,,, ,
????—Dutch Thesaurus,MSTF,PolT,,,, ,
????—DWCheck.dat,BINA,A   ,,Binary,BIN, ,
????—Dynamic Graphics AI Library,VLIB,OKDK,,, , ,
????—Dynamic Graphics FH Library,VLF7,RSRC,,, , ,
????—Election.tt,TTTT,TTSR,Tabletop,,, ,
????—EPS File,EPSF,LTLK, ,EPS,EPS, ,
????—EPS File,EPSF,R2V2, ,EPS,,,
????—Fax Log,SIbL,bFAX,Delrina Fax PRO,Game, , ,
????—File Router,DSt+,DSfr,DropStuff,  , , ,
????—Font File,FFIL,FED∆, ,Font suitcase,,,
????—Foods Consumed 1986,TLN5,TLR3,,,, ,
????—Form File,STCK,KCFM,SmartForm,  , , ,
????—FR Hyphenation,WDHY,FRHY,,,, ,
????—FR Spelling,SACM,FRSP,,,, ,
????—FR Thesaurus,MSTH,FRTH,,,, ,
????—French Dictionary1,HMSD,FRSP,,,, ,
????—French Dictionary2,FRD2,FRSP,,,, ,
????—French Hyphenation,HMHD,FRHY,,,, ,
????—French Thesaurus,MSTF,FRTH,,,, ,
????—GIF File,GIFf,Anon,  ,Graphics GIF,GIF, ,
????—Gomoku,TGam,2can,,,, ,
????—Grades - Tri 1 - 2001/2002,.DOC,TTBX,,,, ,
????—Graphics,shps,26.3,Marathon ??,  , , ,
????—Grouped Items,DSt+,DSfg,DropStuff,  , , ,
????—GXTxT,shlb,AdVW, ,Shared Library, , ,
????—Header.p,TEXT,MPPS, ,Text File,TXT, ,
????—HIGHSCORE,Sept,1984, ,  , , ,
????—HighScores,SCOR,AIRB, , ,,,
????—HP CLJ5M ColorSmart,DXTN,C∞CS,,Printer Description,, ,
????—HP Color LaserJet 5M,TEXT,C∞CS,,Text File,TXT, ,
????—HTML Document,TEXT,hbw ,,Text File,TXT, ,
????—Image File,Imag,Oreo, ,Disk Image, , ,
????—images.ima,.IMA,c3CC,,,, ,
????—Index,Kxii,Kwrx,Kid Works,  , , ,
????—Jungle Chess,TGam,Scc2,,,, ,
????—Kid Prefs,pref,2can,,Pref,, ,
????—Library,VLIB,De3D,Design Center 3-D,  , , ,
????—Map,sce2,26.t,Marathon ??,  , , ,
????—Map,scen,26.Y,Marathon ??,  , , ,
????—Map File,oMaP,Oreo, ,  , , ,
????—map template,.NN ,NN√1,,,, ,
????—Merlin Physics,phys,26.3,Marathon ??,  , , ,
????—Merlin's Prolog,Mov2,27.∞,,Marathon Component,, ,
????—Midi File,Midi,SqrD,Midi Jukebox,Sound MIDI,MID, ,
????—Midi file,Midi,MOUP, ,MIDI,,,
????—Midi Music File,Midi,EPwf, ,Sound MIDI,MID, ,
????—Midi Music File,Midi,TRX!,Trax™,Sound MIDI,MID, ,
????—Midi.MHK,MHK ,MoRs,  , , , ,
????—Minstrel,msik,26.3,Marathon ??,  , , ,
????—Model,VMDL,De3D,Design Center 3-D,  , , ,
????—Monitor Profile,prof,KCMM, , ,,,
????—MPEG File,MPEg,AbCd, ,Movie MPEG,MPG, ,
????—Music,mus2,26.E,Marathon ??,  , , ,
????—Music,mus2,26.t,Marathon ??,  , , ,
????—music,msik,26.Y,Marathon ??,  , , ,
????—NO Thesaurus,MSTH,LNOT,,,, ,
????—Noon's Class,RECF,ATRT,,,, ,
????—Norwegian Thesaurus,MSTF,LNOT,,,, ,
????—Object File,XCOF,UNIX, ,  , , ,
????—October calendar,Ssp4,Sspm,SuperPrint,,, ,
????—Palm Install Package,PRC ,PPia,,, , ,
????—Patti 1,EPSM,GTSC,,EPS,EPS, ,
????—Performance Motors,FORM,TRFM,TrueForm,  , , ,
????—Performance Stack,FmSt,TRFM,TrueForm,  , , ,
????—Physics Test Map,scen,26.3,Marathon ??,  , , ,
????—PICT File,PICT,Achr, ,Graphics PICT,PIC, ,
????—PICT File,PICS,ADFO, ,Animation PICS, , ,
????—PICT File,PICT,AOM4, ,Graphics PICT,PIC, ,
????—PICT File,PICT,APSC,AppleScan,Graphics PICT,PIC, ,
????—PICT File,PICT,DPI5, ,Graphics PICT,PIC, ,
????—PICT file,PICT,HARP,HarpStars,Graphics PICT,PIC, ,
????—PICT File,PICT,Kwrx,Kid Works,Graphics PICT,PIC, ,
????—PICT File,PICT,PIXZ,PixelPaint Professional™,Graphics PICT,PIC, ,
????—PICT File,PICT,RMG1,MediaGrabber™,Graphics PICT,PIC, ,
????—PlugIn,Extn,BarB, , ,,,
????—PostScript Fone,LWFN,FXCP, ,PostScript font,PFB, ,
????—PostScript Font,LWFN,1F•X, ,PostScript font,PFB, ,
????—PostScript Font,LWRN,B&P1, ,  , , ,
????—PostScript Font,LWFN,DPSF, ,PostScript font,PFB, ,
????—PostScript Font,LWFN,EvOp,  ,PostScript font,PFB, ,
????—PostScript Font,LWFN,FRep, ,PostScript font,PFB, ,
????—PostScript Font,LWFN,HIPF, ,PostScript font,PFB, ,
????—PostScript Font,LWFN,Zn&x, ,PostScript font,PFB, ,
????—PostScript Font,LWFN,fbD1, ,PostScript font,,,
????—PostScript Font,LWFN,Zn&A, ,PostScript font,,,
????—Preferences,PREF,APlg,,Pref,, ,
????—Preferences,prEf,Kwrx,Kid Works,Pref, , ,
????—Print Template,Vlit,DPlt, ,  , , ,
????—Profile,prof,KCMS,KODAK,  , , ,
????—QuickTime File,MooV,Achr, ,QuickTime Movie,MOV, ,
????—QuickTime Movie,MooV,RD4A,Ray Dream Studio™,QuickTime Movie,MOV, ,
????—QuickTime Plugin,Plug,MSS!,"Subband Software, Inc.",Plug-in Module,, ,
????—Resource File,rsrc,Sun!,,Resource,, ,
????—RIFF Sound File,RIFF,FSPE,ImageStudio,Sound RIFF, , ,
????—Sample Application,APPL,FMRk, ,Application, , ,
????—Sample Database,SHB3,FMRk,Nolo RecordKeeper,  , , ,
????—Sample Deposit Form,CkLd,CkLy, ,  , , ,
????—Sample Form,CkLc,CkLy, ,  , , ,
????—SCC Engine List (99),TEXT,SCCL,,Text File,TXT, ,
????—SCOT,ˆˆˆˆ, TO , ,  , , ,
????—Set Monitor Depth,DSt+,DSdp,DropStuff,  , , ,
????—Set Volume,DSt+,DSvl,DropStuff,  , , ,
????—Shape File,Shap,Oreo, ,  , , ,
????—Shapes,shps,26.Y,Marathon ??,  , , ,
????—Signature File,MSET,MZT1, , ,,,
????—Sounds,sndz,26.3,Marathon ??,Sound, , ,
????—Sounds,sndz,26.Y,Marathon ??,Sound, , ,
????—Spin File,sPin,Oreo, ,  , , ,
????—Standard,phy∞,26.t,Marathon ??,  , , ,
